,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
1911,"2,7X tỷ nhà xây mới 5T ô tô lùi cửa hộ khẩu Hà Đông. Ô tô con lùi cửa 3PN, khách, bếp, PT, sân phơi",42005338.0,2025-07-01 00:00:00,83.33,2.75,33.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Đông
1912,"Cần bán gấp nhà Khương Đình, trung tâm Thanh Xuân, 48m2*5T, thang máy, 2 thoáng, chỉ việc ở 7.9 tỷ",41951673.0,2025-07-01 00:00:00,164.58,7.9,48.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
1913,Bán nhà Trịnh Văn Bô - Từ Liêm DT 80m2 x 5 tầng - Ô tô tránh - Kinh Doanh,40549135.0,2025-11-01 00:00:00,250.0,20.0,80.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
1914,"Bán CC mini Hồ Tùng Mậu, 1,32 tỷ, 35m2, 1PN, 1WC, Chính chủ",42031335.0,2025-12-01 00:00:00,0.0,1.32,35.0,1.0,1.0,Hợp đồng mua bán,NAN,Cầu Giấy
1915,"Bán biệt thự hàng hiếm tại La Khê, giá thỏa thuận, 50m2, Hà Đông, Hà Nội",41990975.0,2025-05-01 00:00:00,0.0,0.0,50.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Đông
1916,"Rẻ như cho, phân lô Văn Khê, full nội thất, giá đầu tư",38561483.0,2025-10-01 00:00:00,0.0,0.0,55.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1917,Giá đầu tư - Hoàng Quốc Việt: 70m2 7 tầng - mặt tiền 6m - ngõ ô tô rộng nhà đẹp mà giá tốt,41879987.0,2025-04-01 00:00:00,318.57,22.3,70.0,6.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Cầu Giấy
1918,Chính chủ bán nhanh căn hộ toà V3 Victoria Văn Phú Hà Đông 3pn full đồ về ở ngay,41988802.0,2025-04-01 00:00:00,50.0,5.9,118.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1920,"Chính chủ bán nhà riêng La Khê, Hà Đông ô tô đỗ cổng, 35m2, 4 tầng, giá đầu tư, hơn 6 tỷ 0838 265 ***",41998913.0,2025-06-01 00:00:00,195.71,6.85,35.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1922,"Chính chủ bán căn 3PN DT 118m2 chung cư Lancaster Hà Nội, giá 11 tỷ bao phí, LH: 0932 392 ***",40361466.0,2025-03-01 00:00:00,93.22,11.0,118.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
1923,"Căn hộ chung cư 3PN, 2WC, 108m2 tại The Zei Mỹ Đình, 9 tỷ. LH 0357 536 ***",42001373.0,2025-07-01 00:00:00,83.33,9.0,108.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Nam Từ Liêm
1924,"Chính chủ cần bán nhà mới ô tô cạnh nhà - thang máy - nhà đẹp - ngõ 5 Nguyễn Viết Xuân, Hà Đông",41996262.0,2025-06-01 00:00:00,243.75,7.8,32.0,3.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1925,"Sốc giá! Mặt phố Trường Chinh lô góc oto dừng đỗ vỉa hè 5m sát ngã Tư Sở, DT 2.5 tỷ/năm 55m2*6T",40331841.0,2025-11-01 00:00:00,398.18,21.9,55.0,6.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Đống Đa
1926,"Bán nhà mặt phố Lê Đại Hành: Diện tích 70m2 x 6 tầng, mặt tiền 4m. Nhà mới thông sàn, thang máy",40209635.0,2025-11-01 00:00:00,357.14,25.0,70.0,5.0,6.0,NAN,NAN,Hai Bà Trưng
1927,"(Mới) giá thật. chính chủ cần bán 88m2 TK 2PN 2VS tại CC Golden Palace, giá 5.5 tỷ. có lốt ô tô",39808125.0,2025-03-01 00:00:00,62.5,5.5,88.0,2.0,2.0,NAN,Nội thất đẹp có sẵn chỉ việc về ở.,Nam Từ Liêm
1928,"Chính Chủ bán 100m đất DV An Thượng, Hoài Đức, HN, giá 130tr/m, LH 0867 313 ***",42029408.0,2025-11-01 00:00:00,130.0,13.0,100.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hoài Đức
1929,"Em gái cần Bán CH- 118m2- căn góc 2 mặt thoáng 2wc full nội thất Golden Palace,Vào ở ngay trước tết",42027632.0,2025-11-01 00:00:00,0.0,0.0,118.0,3.0,2.0,Sổ đỏ/ Sổ hồng,NAN,Nam Từ Liêm
1930,"Bán biệt thự 5PN, 4WC, 120m2 tại Bùi Thiện Ngộ, Long Biên, 24 tỷ VND",42007075.0,2025-08-01 00:00:00,200.0,24.0,120.0,5.0,4.0,Sổ đỏ/ Sổ hồng,"Cơ bản Nội thất: Cơ bản, bao gồm điều hòa, tủ lạnh, giường...",Long Biên
1931,Bán nhà sổ đỏ chính chủ mặt phố Hà Trung diện tích 52m2 xây 5 tầng 50 tỷ,37761325.0,2025-11-01 00:00:00,961.54,50.0,52.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàn Kiếm
1932,Cần bán gấp lô trọn sổ dịch vụ thôn Vân Lũng - An Khánh. Diện tích 99m2. Giá đầu tư. LH: 0974 606 ***,41920968.0,2025-08-01 00:00:00,0.0,0.0,99.0,0.0,0.0,NAN,NAN,Hoài Đức
1933,"Bán nhà Việt Hưng, Long Biên - khu phân lô, oto tránh, vỉa hè rộng - view vườn hoa - an sinh đỉnh",41992836.0,2025-05-01 00:00:00,215.38,28.0,130.0,5.0,0.0,NAN,NAN,Long Biên
1934,"Chính chủ bán gấp trước tết căn góc 3PN - 102.3m2 Eco Green Nguyễn Xiển, nhỉnh 5 tỷ lh: 0969 029 ***",42023007.0,2025-10-01 00:00:00,57.67,5.9,102.3,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Thanh Trì
1935,Bán căn hộ 107m2 3PN ở Watermark 395 Lạc Long Quân view Hồ Tây hướng mát giá tốt LH 0364 224 ***,39943719.0,2024-12-31 00:00:00,0.0,0.0,107.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Cầu Giấy
1937,"Chính chủ cần bán gấp căn hộ chung cư 107 Nguyễn Chí Thanh, Đống Đa. DT 110m 3 ngủ 2WC giá 6,5 tỷ",41190850.0,2025-11-01 00:00:00,59.09,6.5,110.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Đống Đa
1938,"Mua nhà mặt mặt phố lãi ngay khi cọc, Nhân Mỹ, 22,5 tỷ, 96m2, 8PN, 4WC, Nam Từ Liêm, Hà Nội",41853546.0,2025-10-01 00:00:00,234.38,22.5,96.0,8.0,6.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,Nam Từ Liêm
1939,"Gấp, giảm chào 500 triêu, nhà tô hiệu ô tô đỗ gần, kiên cố - thoáng mát, dt 45m2, 8.9 tỷ",42017602.0,2025-10-01 00:00:00,197.78,8.9,45.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Đông
1940,"Bán Đất Bên Lẻ Âu Cơ. 88m2x MT7m. Ngõ Nông , Thông, Rộng. Sát Mặt Phố. Xây Toà Cưvj Đẹp. Giá 17 tỷ",42029047.0,2025-11-01 00:00:00,193.18,17.0,88.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Tây Hồ
1941,"Chính chủ bán mảnh đất 464m2 full thổ cư tại thôn Đường Nhạn, Xuân Nộn, Đông Anh",33727767.0,2025-07-01 00:00:00,39.0,18.1,464.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đông Anh
1942,"Chính chủ bán căn penthouse duplex CC Mỹ Đình Pearl, 268m2, 4PN 3VS, full đồ. Giá chỉ 19.5 tỷ",41987890.0,2025-04-01 00:00:00,72.76,19.5,268.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
1943,"Chủ cần tiền bán gấp nhà phố Trung Kính, lô góc, 72m2x5T, MT 9m, 32 tỷ",41773496.0,2025-11-01 00:00:00,444.44,32.0,72.0,4.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Cầu Giấy
1944,Bán nhanh 1N toà Be3. Giá tốt nhất. LH 0962 506 *** để đặt cọc,41640513.0,2025-11-01 00:00:00,57.44,2.47,43.0,1.0,1.0,Hợp đồng mua bán,Cơ bản,Gia Lâm
1945,"(Sát phố, mặt ngõ, ô tô) Bán nhà Trần Quang Diệu, Đống Đa. DT 49m 5 tầng MT 4,1m",41929461.0,2025-05-01 00:00:00,332.65,16.3,49.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đống Đa
1946,"Bán gấp nhà riêng 35m2, Đình Thôn, Mỹ Đình 2, Nam Từ Liêm, 6,3 tỷ VND",41999068.0,2025-06-01 00:00:00,180.0,6.3,35.0,3.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
1947,Chính chủ bán căn 95m2 rẻ bao toàn thị trường. Tầng thấp. 3PN - 2VS. Full nội thất,41932891.0,2025-11-01 00:00:00,68.42,6.5,95.0,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ - Nội thất đẹp thiết kế sang trọng trẻ trung theo phong cách hiện đại (Ảnh thật).,Nam Từ Liêm
1948,"CHÍNH CHỦ BÁN LIỀN KỀ VĂN PHÚ, HÀ ĐÔNG, 90M2 MT4.5M KINH DOANH, SÁT CỘT ĐỒNG HỒ, K LỖI 0838 265 ***",42025983.0,2025-10-01 00:00:00,194.44,17.5,90.0,5.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1949,"Bán đất Dương Nội 51m2 - MT 4m. Mảnh đất đẹp, vuông vắn nở hậu, diện tích rộng, sát Aeon Mall",42026011.0,2025-11-01 00:00:00,121.57,6.2,51.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hà Đông
1950,Căn 2pn diện tích 74m2 hướng Tây Nam. View sông và cầu - giá 4.25 tỷ - liên hệ: 0902 161 ***,42024221.0,2025-10-01 00:00:00,57.43,4.25,74.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Long Biên
1951,"Bán gấp: 255m2, mặt tiền: 13m, đường 17m, khu 31ha, Trâu Quỳ, Gia Lâm. Kinh doanh dòng tiền ổn định",38623084.0,2025-10-01 00:00:00,145.1,37.0,255.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Gia Lâm
1952,"Bán chung cư The Nine 02pn - 03PN DT từ, 87; 100; 116; 144m2; 162m2 giá rẻ, view đẹp LH 0839 185 ***",39423894.0,2025-08-01 00:00:00,0.0,0.0,100.0,3.0,2.0,Có sổ hồng,Có đủ nội thất do Chủ nhà ở từ khi nhận bàn giao.,Cầu Giấy
1953,HDI Tây Hồ bán căn góc 3PN 107m2. Full nội thất. View Hồ Tây/ giá 11.5 tỷ Bao phí LH: 0986 558 ***,41181834.0,2025-10-01 00:00:00,107.48,11.5,107.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây Hồ
1954,"Bán đất Vạn Phúc Hà Đông, lô góc kinh doanh, giá đầu tư",41295566.0,2024-12-29 00:00:00,250.0,12.5,50.0,0.0,0.0,Sổ đỏ,NAN,Hà Đông
1955,Berriver Long Biên sát cầu Chương Dương bán căn 3PN full nội thất giá 5.5 tỷ,41995130.0,2025-06-01 00:00:00,68.75,5.5,80.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Long Biên
1956,"Chính chủ bán nhà kinh doanh, văn phòng phố Vũ Hữu Quận Thanh Xuân, Hà Nội 75m2",41862732.0,2025-12-01 00:00:00,300.0,22.5,75.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Thanh Xuân
1957,"Cần bán 62m2 mặt đường lớn 19m kinh doanh, 5 tầng xây thô giá 14 tỷ",38954348.0,2025-12-01 00:00:00,225.81,14.0,62.0,5.0,5.0,Hợp đồng mua bán,Đầy đủ.,Hà Đông
1958,"Nhà 4Tx35m2 ôtô cách 20, full nội thất 5p ra QL 21B, gần cầu Thạch Bích - Bích Hòa chỉ 2,9 tỷ",41983591.0,2025-03-01 00:00:00,82.86,2.9,35.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Oai
1959,Bán nhà liền kề xây thô hoàn thiện KĐT HUD Vân Canh - Hoài Đức LH 0944 387 ***,40815421.0,2025-12-01 00:00:00,0.0,0.0,100.0,0.0,0.0,NAN,NAN,Hoài Đức
1960,"Lô góc Yên Hòa DT 54 m2, 7 tâng 6,5m MT thang máy xịn, 17 phòng khép kín. 16 tỷ nhỉnh",41869563.0,2025-05-01 00:00:00,296.3,16.0,54.0,0.0,0.0,Sổ đỏ,NAN,Cầu Giấy
1961,"Bán chung cư Định Công, Hoàng Mai 80m2, 2 ngủ, 2 VS, nội thất đẹp, slot oto, 5 tỷ 580",39101732.0,2025-12-01 00:00:00,69.75,5.58,80.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàng Mai
1962,Tôi cần bán nhà 115m2 hướng Đông Nam tầng 08,37186509.0,2025-12-01 00:00:00,0.0,0.0,115.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
1963,Bán nhà 4 tầng 40m Đội Cấn Ba Đình gần hồ Đầm tròn gần Lăng Bác giá 8.5 tỷ,42026809.0,2025-11-01 00:00:00,212.5,8.5,40.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
1964,"Bán nhà mặt phố Thụy Khuê, 6 tầng thang máy, kinh doanh đỉnh, DT 55m2, giá 30,8 tỷ",41440020.0,2025-12-01 00:00:00,560.0,30.8,55.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Tây Hồ
1965,"Lô đất đẹp 2 mặt tiền nằm trong quần thể nghỉ dưỡng tại Vân Hoà, Ba Vì. Dt 180m2 (50m2 ONT) 1.3 tỷ",41879147.0,2025-10-01 00:00:00,7.22,1.3,180.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Ba Vì
1966,"Bán nhà phố Hoàng Ngọc Phách, ô tô đỗ cửa, 61m2 giá 20tỷ",42027587.0,2025-11-01 00:00:00,326.8,20.0,61.2,7.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản,Đống Đa
1967,"Chính chủ bán căn chung cư khu đô thị Đặng Xá 2 PN, 2 VS",41660102.0,2025-12-01 00:00:00,40.34,2.82,69.9,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản.,Gia Lâm
1968,"Gia đình em cần bán CH - 70m2 full nội thất. Chỉ ở luôn toà FLC 36 Phạm Hùng giá 4,8 tỷ",42005326.0,2025-07-01 00:00:00,68.57,4.8,70.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất,Nam Từ Liêm
1969,"Bán gấp căn LK Văn Khê ngay trung tâm quận gần dãy shophouse kinh doanh sầm uất 55m2*4T, chỉ 12.2tỷ",39412150.0,2025-12-01 00:00:00,221.82,12.2,55.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Đông
1970,"Nhà dân xây Mậu Lương, Đa Sỹ, 36m2, 4 tầng, ngõ 2.8m, 4.7 tỷ",41964837.0,2025-11-01 00:00:00,130.56,4.7,36.0,4.0,0.0,NAN,NAN,Hà Đông
1971,"Bán nhà Dương Văn Bé, Hai Bà Trưng, nhà dân xây chắc chắn, ngõ rộng, cách mặt phố đúng 50m",41830747.0,2025-06-01 00:00:00,180.0,4.5,25.0,4.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hai Bà Trưng
1973,Bán nhà phân lô Quan Nhân - Thanh Xuân - 95m2 - MT 9m - lô góc - ô tô - vỉa hè - kinh doanh VP,41433431.0,2025-11-01 00:00:00,336.84,32.0,95.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
1974,"1 căn duy nhất, hạ giá sốc 500tr, căn 2 ngủ The Pride, full đồ giá chỉ 3.x tỷ",39894602.0,2025-11-01 00:00:00,0.0,0.0,76.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1975,"Bán nhà mặt phố Lý Thường Kiệt, nhỉnh 8x tỷ, 95m2, siêu hot ở Hoàn Kiếm, Hà Nội",41720170.0,2025-10-01 00:00:00,863.16,82.0,95.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàn Kiếm
1976,"Cần tiền bán gấp căn 2PN 1VS 60m2 giá chỉ 2.6 tỷ tại Vin Ocean Park, LH: 0969 493 ***",34668231.0,2025-11-01 00:00:00,43.33,2.6,60.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Không nội thất,Gia Lâm
1977,"Chính chủ bán căn 2PN, 1VS 55m2 toà HH2L có đồ nhà đẹp như hình cho khách có nhu cầu",42001453.0,2025-07-01 00:00:00,0.0,0.0,55.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1978,"Bán căn hoa hậu duy nhất CC 141m2, 16 tỷ ở Green Diamond 93 Láng Hạ, Đống Đa, pháp lý sổ hồng",41760173.0,2025-10-01 00:00:00,113.48,16.0,141.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Đống Đa
1979,Bán căn hộ TNR Goldmark City Ruby 2.93m2/3pn. Sẵn sổ đỏ. Full đồ view đẹp LH0946 827 ***,41549532.0,2025-02-01 00:00:00,70.97,6.6,93.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc Từ Liêm
1980,"Bán nhà mặt phố Nguyễn Xiển 52m2, 8 tầng thang máy, chỉ 30 tỷ, vỉa hè rộng kinh doanh sầm uất",41999512.0,2025-06-01 00:00:00,576.92,30.0,52.0,7.0,7.0,Sổ đỏ/ Sổ hồng,Cơ bản,Thanh Xuân
1981,"(Chính chủ) bán căn 4 ngủ 2wc 125m2, nhà đẹp, nội thất mới, sẵn sổ đỏ. Giá 7,2 tỷ tòa Mulberry Lane",42017897.0,2025-09-01 00:00:00,57.6,7.2,125.0,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
1982,Bán gấp căn hộ TT bê tông Chèm - Đông Ngạc,42028983.0,2025-11-01 00:00:00,28.43,1.99,70.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc Từ Liêm
1983,Nhà mặt phố 205 - 207 Khâm Thiên - 518m2 - Nhà 09 tầng 02 hầm - Bán trực tiếp,33118690.0,2025-05-01 00:00:00,752.9,390.0,518.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Đống Đa
1984,"Bán nhà 67m2 x 3 tầng, đường ô tô tránh, tại ngõ 12 Thạch Bàn, ngay hồ Thạch Bàn - 8.2 tỷ",41685597.0,2025-11-01 00:00:00,122.39,8.2,67.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Long Biên
1985,"Bán đất Đông Dư Gia Lâm Hà Nội DT: 40m2 * 6m * 3,900 tỷ cách 14m oto đỗ",41795390.0,2025-11-01 00:00:00,0.0,3.9,40.0,0.0,0.0,Sổ đỏ/ Sổ hồng.,NAN,Gia Lâm
1986,"90 tỷ nhỉnh sở hữu tòa nhà 10 tầng vip nhất mặt phố Duy Tân, dt 156m2, MT 9.5m văn phòng, khách sạn",41854381.0,2025-10-01 00:00:00,0.0,0.0,156.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Cầu Giấy
1987,Bán nhà La Phù lô góc cực hiếm - 33m2 - chỉ 3.85 tỷ,41994573.0,2025-06-01 00:00:00,116.67,3.85,33.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Hoài Đức
1988,"Bán gấp! Mặt phố Trích Sài - view trọn Hồ Tây cần bán nhà C4 783m2, lô góc - 1 mặt phố, 1 mặt ngõ",42025107.0,2025-10-01 00:00:00,892.72,699.0,783.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Tây Hồ
1989,"Bán căn hộ chung cư A14 Nam Trung Yên, Cầu Giấy, lô góc, 2 ngủ, 2 wc, giá 4 tỷ 8",41961667.0,2025-10-01 00:00:00,66.67,4.8,72.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Cầu Giấy
1990,"Chỉ 7 tỷ có nhà Nguyễn Khang Cầu Giấy ngõ ô tô đỗ cửa, gần phố, mặt tiền rộng, ở hoặc cho thuê",41863232.0,2025-11-01 00:00:00,200.0,7.0,35.0,3.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Cầu Giấy
1991,"Long Biên gần Aeon mall, nhà mới thiết kế hiện đại - gara ô tô - thang máy - full nội thất - hiếm",42006752.0,2025-08-01 00:00:00,232.56,10.0,43.0,3.0,2.0,Sổ đỏ/ Sổ hồng.,Full nội thất.,Long Biên
1992,"Bán nhà PL Mỹ Đình - Từ Liêm 90m2 - MT 6m ô tô KD văn phòng, nhỉnh 25 tỷ",39972339.0,2025-11-01 00:00:00,283.33,25.5,90.0,6.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
1993,"Bán căn hộ The Golden Armor - B6 Giảng Võ, 90m2 3 phòng ngủ, tầng cao nhìn hồ Tây. LH 0945 894 ***",36657974.0,2025-10-01 00:00:00,0.0,0.0,90.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
1994,"Chính chủ bán căn 60m2 2PN, full đồ sổ đỏ CC Đền Lừ A4 sát hồ",41925564.0,2025-12-01 00:00:00,56.67,3.4,60.0,2.0,1.0,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hoàng Mai
1995,"Mặt phố Nguyên Hy Quang, Tôn Đức Thắng, Đống Đa, DT 143m, MT 7m, xây building đỉnh, chỉ 63 tỷ",41994413.0,2025-06-01 00:00:00,443.66,63.0,142.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đống Đa
1996,"Biệt thự VIP khu Bán đảo Linh Đàm. Vỉa hè, thang máy, văn phòng, kinh doanh DT 251m2 - 68 tỷ",42024264.0,2025-10-01 00:00:00,270.92,68.0,251.0,6.0,6.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hoàng Mai
1997,"Chính chủ bán lô đất DV Yên Nghĩa khu A vuông đẹp: 57,8m2 mặt 5,78m. Giá: 10,5 tỷ",41965382.0,2025-11-01 00:00:00,181.66,10.5,57.8,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hà Đông
1998,"Hot! Đất sát phân khu đại học Quốc Gia, đường 2 ô tô tránh mà giá chỉ 12tr/m2",41796623.0,2025-11-01 00:00:00,12.0,2.82,235.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Thạch Thất
1999,"NHỈNH 4TỶ 1 căn duy nhất phố Lĩnh Nam, Sổ riêng vuông vắn, không Quy hoạch",42026264.0,2025-10-01 00:00:00,151.34,4.39,29.0,3.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàng Mai
2000,"Bán căn biệt thự song lập, nằm trên trục đường 30m, Hải Âu 2 DA Vinhomes Ocean Park - 29,x tỷ bp",40210123.0,2024-12-31 00:00:00,0.0,0.0,150.0,0.0,0.0,Sổ đỏ/ Sổ hồng.,NAN,Gia Lâm
2001,"Chuyển nhà muốn bán nhanh căn hộ 4 ngủ Dolphin Plaza, Trần Bình, DT: 171m2, giá 8 tỷ",38124298.0,2025-06-01 00:00:00,46.78,8.0,171.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
2002,Chuyển nhượng đất phân lô X1 Đông Hội - Đông Anh,40241095.0,2025-10-01 00:00:00,128.0,10.24,80.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đông Anh
2003,Quỹ căn hộ 2PN 3PN rao bán T12.2024 giá rẻ nhất Imperia đủ loại diện tích. LH số 0947 418 ***,35663984.0,2025-11-01 00:00:00,77.12,6.0,77.8,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,Hai Bà Trưng
2004,"Bán đất có 102 xây tòa văn phòng, khách sạn, apartment, lô góc, phố Võ Chí Công 250m2 7. X tỷ",41922599.0,2025-07-01 00:00:00,0.0,0.0,250.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản,Tây Hồ
2005,"Bán các lô DT từ 46m2 đến 150m2 phân lô cạnh đường Vành Đai 3.5 và KĐT đô thị An Lạc, Vườn Cam",40276573.0,2025-08-01 00:00:00,0.0,0.0,46.4,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hoài Đức
2006,Chủ nhà cần tiền giảm sốc 300tr căn 3PN 2VS (căn góc) tầng 15 đẹp nhất CC Imperia Garden,41641675.0,2025-10-01 00:00:00,83.59,8.15,97.5,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
2007,"Cần tiền bán gấp trước tết chung cư Đại Thanh 56m2 2N2vs giá 1,84 tỷ có thương lượng",42031145.0,2025-12-01 00:00:00,0.0,1.84,56.0,2.0,0.0,Hợp đồng mua bán,NAN,Thanh Trì
2008,"Chính chủ bán nhà mặt phố Hoàng Ngân, diện tích 222m2, mặt tiền 10m, giá 128 tỷ",40280530.0,2025-10-01 00:00:00,576.58,128.0,222.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Nội thất thiết bị vệ sinh nhập khẩu.,Cầu Giấy
2009,"Cần tiền đầu tư kinh doanh Bán Gấp căn 79m, 2PN nhỉnh 4 tỷ chung cư Usilk, Tố Hữu, Hà Đông. Full đồ",41744433.0,2025-10-01 00:00:00,48.94,4.6,94.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
2010,"Phố Minh Khai, 10m Ra Ô Tô, Full Nội Thất, Giao Thông Thuận Tiện, Tiện Ích Bạt Ngàn, Kinh Doanh",42021038.0,2025-11-01 00:00:00,221.67,6.65,30.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hai Bà Trưng
2011,Bán căn hộ 120m2 hoàn thiện cơ bản cao cấp CĐT giá tốt nhất dự án BRG Diamond Residence,41037802.0,2025-04-01 00:00:00,0.0,0.0,120.0,3.0,2.0,Hợp đồng mua bán,Cơ bản,Thanh Xuân
2012,"Bán gấp đất siêu hót S35m Vân Canh, giá chỉ 3.9 tỷ ngay gần chợ, trường C1 C2 vân Canh",41856821.0,2025-10-01 00:00:00,111.43,3.9,35.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Hoài Đức
2013,"Giá thật cần bán căn hộ 3 phòng ngủ C14 Bắc Hà. Giá 5,3 tỷ, DT 108m2 và 2 WC. LH 0978,965831",37754319.0,2025-11-01 00:00:00,49.07,5.3,108.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
2014,"Bán nhà phường Ngọc Thụy, Long Biên, 45m2, 5 tầng 4 ngủ , 5.x tỷ ( Dân xây )",40815690.0,2025-11-01 00:00:00,124.44,5.6,45.0,5.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Long Biên
2015,"Tổng hợp các căn hộ giá tốt, ko chào ảo tại CT8 The Emerald 76m2, 81m2, 89,5m2, 95m2, 104m2, 124m2",41756242.0,2025-07-01 00:00:00,70.37,5.7,81.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam Từ Liêm
