,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
83,"Chính chủ Bán BT Lô góc Tây Nam Linh Đàm, 75 tỷ, 225m2, 6PN, 6WC, pháp lý đầy đủ ĐT: 0984 288 ***",42022399.0,2025-10-01 00:00:00,333.33,75.0,225.0,6.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoàng Mai
84,Mặt phố Ba Đình - mặt tiền rộng 8.6m - quy hoạch rõ ràng - vỉa hè rộng - khu vip - giá ngon,41574230.0,2025-07-01 00:00:00,368.0,46.0,125.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Ba Đình
85,"50m2 đất Phượng Đồng, Phụng Châu, đường 3m ô tô vào nhà, giá 2.45 tỷ",41319219.0,2025-11-01 00:00:00,49.0,2.45,50.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Chương Mỹ
86,"Bán căn hộ Ecolife Capitol, Tố Hữu: 7,15 tỷ, 111m2, 3PN + 2WC, full NT sịn, trục đẹp, LH 0936 218 ***",41994511.0,2025-06-01 00:00:00,64.41,7.15,111.0,3.0,2.0,Sổ đỏ/ Sổ hồng,"Đầy đủ - Bao gồm đầy đủ nội thất như điều hòa, tủ lạnh, giường...",Nam Từ Liêm
87,Chỉ 5.8 tỷ cho căn hộ 81m2 tại phân khu The Senique - full chiết khấu 12% - LH: 0385 987 ***,41668580.0,2025-11-01 00:00:00,0.0,5.8,81.0,2.0,2.0,Sổ đỏ/ Sổ hồng,NAN,Gia Lâm
88,"Bán nhà Phố Đội Cấn, Khu VIP, Nội Thất Đẹp, Thang Máy Xịn, Ở Ngay, 51mx7T, Giá: 19,8 Tỷ.",42013609.0,2025-09-01 00:00:00,388.24,19.8,51.0,4.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Ba Đình
89,"Đất đẹp - Cổ Điển, Hải Bối - nhỏ tiền - gần phố - gần khu công nghiệp - cầu Thăng Long",41746661.0,2025-09-01 00:00:00,77.89,4.05,52.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đông Anh
90,"Nhà đẹp Thụy Khuê - ngõ nông - trước nhà rộng 20m ra phố 33m2 x 4 tầng MT 4,5m",42001908.0,2025-07-01 00:00:00,239.39,7.9,33.0,0.0,0.0,NAN,NAN,Tây Hồ
91,"Ko ảo - Chính chủ gửi bán căn 96m2 3 ngủ CC Green Park, giá 7.x tỷ, LH 0936 218 ***",42022802.0,2025-10-01 00:00:00,74.48,7.15,96.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Cầu Giấy
92,"Cần tiền gấp tôi bán cắt lỗ giảm sâu 200 triệu căn 2N, 2VS toà Gemek2 đối diện Vin 66m, full đồ đẹp",41993976.0,2025-06-01 00:00:00,50.0,3.3,66.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hoài Đức
